device_id,timestamp,current,active_power,reactive_power,ts_id,device_type,device_location,device_brand,device_category,description,synthetic
38a810ebdd0b91253efbaf708316ec74cb659ccc6bfdd915df06a4ab2b31f877,2022-04-20 11:53:44,0.0292,0.66,7.37,112565,monitor,GB,gigabyte,office,34 inch gaming monitor,0
38a810ebdd0b91253efbaf708316ec74cb659ccc6bfdd915df06a4ab2b31f877,2022-04-20 11:53:45,0.0292,0.66,7.37,112565,monitor,GB,gigabyte,office,34 inch gaming monitor,0
38a810ebdd0b91253efbaf708316ec74cb659ccc6bfdd915df06a4ab2b31f877,2022-04-20 11:53:46,0.0292,0.66,7.37,112565,monitor,GB,gigabyte,office,34 inch gaming monitor,0
38a810ebdd0b91253efbaf708316ec74cb659ccc6bfdd915df06a4ab2b31f877,2022-04-20 11:53:47,0.0292,0.66,7.37,112565,monitor,GB,gigabyte,office,34 inch gaming monitor,0
38a810ebdd0b91253efbaf708316ec74cb659ccc6bfdd915df06a4ab2b31f877,2022-04-20 11:53:48,0.0292,0.66,7.37,112565,monitor,GB,gigabyte,office,34 inch gaming monitor,0
38a810ebdd0b91253efbaf708316ec74cb659ccc6bfdd915df06a4ab2b31f877,2022-04-20 11:53:49,0.0292,0.66,7.37,112565,monitor,GB,gigabyte,office,34 inch gaming monitor,0
38a810ebdd0b91253efbaf708316ec74cb659ccc6bfdd915df06a4ab2b31f877,2022-04-20 11:53:50,0.0292,0.66,7.37,112565,monitor,GB,gigabyte,office,34 inch gaming monitor,0
38a810ebdd0b91253efbaf708316ec74cb659ccc6bfdd915df06a4ab2b31f877,2022-04-20 11:53:51,0.0292,0.66,7.37,112565,monitor,GB,gigabyte,office,34 inch gaming monitor,0
38a810ebdd0b91253efbaf708316ec74cb659ccc6bfdd915df06a4ab2b31f877,2022-04-20 11:53:52,0.0292,0.66,7.37,112565,monitor,GB,gigabyte,office,34 inch gaming monitor,0
38a810ebdd0b91253efbaf708316ec74cb659ccc6bfdd915df06a4ab2b31f877,2022-04-20 11:53:53,0.0449,2.94,7.34,112565,monitor,GB,gigabyte,office,34 inch gaming monitor,0
38a810ebdd0b91253efbaf708316ec74cb659ccc6bfdd915df06a4ab2b31f877,2022-04-20 11:53:54,0.0524,4.19,7.3,112565,monitor,GB,gigabyte,office,34 inch gaming monitor,0
38a810ebdd0b91253efbaf708316ec74cb659ccc6bfdd915df06a4ab2b31f877,2022-04-20 11:53:55,0.0486,3.69,7.34,112565,monitor,GB,gigabyte,office,34 inch gaming monitor,0
38a810ebdd0b91253efbaf708316ec74cb659ccc6bfdd915df06a4ab2b31f877,2022-04-20 11:53:56,0.0486,3.69,7.34,112565,monitor,GB,gigabyte,office,34 inch gaming monitor,0
